,Life expectancy,1806,1816,1826,1836,1846,1856,1866,1876,1886,1896,1906,1916,1926,1936,1946,1956,1966,1976,1986,1996,2006
134,Malawi,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,31.64,37.48,40.03,44.16,47.9,46.3,49.6
135,Malaysia,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,37.47,45.13,57.37,63.21,67.5,70.73,72.5,74.5
136,Maldives,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,32.65,33.29,35.72,43.48,52.59,62.41,70.0,77.5
137,Mali,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.41,26.83,28.84,31.8,39.18,47.45,51.8,57.4
138,Malta,28.7,28.7,28.7,28.7,28.7,28.7,28.7,30.59,35.32,40.04,44.77,49.5,54.23,58.61,63.9,67.06,70.36,73.36,76.08,78.5,81.0
140,Martinique,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,30.15,34.29,42.57,50.84,57.93,63.84,69.0,73.29,76.88,79.78
141,Mauritania,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.22,41.09,47.73,52.73,58.28,61.5,67.0
142,Mauritius,28.7,28.7,28.7,31.6,29.99,17.55,29.39,34.85,33.32,22.15,23.74,32.62,37.45,36.24,33.0,54.09,62.67,64.83,68.38,70.5,72.5
143,Mayotte,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,34.94,51.32,59.7,65.84,70.54,74.35,77.53
144,Mexico,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,26.9,28.8,27.88,30.01,34.2,38.3,44.88,54.29,60.15,64.95,69.84,73.3,75.4
145,"Micronesia, Fed. Sts.",26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,27.78,38.61,47.77,55.37,58.99,62.85,63.99,65.7,67.7
146,Moldova,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15,36.07,43.25,51.07,60.68,64.48,65.57,67.29,66.1,69.8
148,Mongolia,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,34.18,45.66,54.16,58.31,60.71,61.7,64.0
149,Montenegro,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,40.16,48.08,46.01,61.3,67.62,72.33,74.08,73.4,75.2
151,Morocco,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,40.61,47.81,52.54,57.11,64.91,70.0,72.9
